year,country,winner,runners-up,third,fourth,goals,qualified,matchesplayed,attendance,hostcost,fifarev,2018cost,2018rev
1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590.549,472000000,157000000,7094500000,2357500000
1934,Italy,Italy,Czechoslovakia,Germany,Austria,70,16,17,363,379000000,126000000,7094500000,2357500000
1938,France,Italy,Hungary,Brazil,Sweden,84,15,18,375.7,398000000,132000000,7094500000,2357500000
1950,Brazil,Uruguay,Brazil,Sweden,Spain,88,13,22,1.045.246,681000000,226000000,7094500000,2357500000
1954,Switzerland,Germany FR,Hungary,Austria,Uruguay,140,16,26,768.607,760000000,253000000,7094500000,2357500000
1958,Sweden,Brazil,Sweden,France,Germany FR,126,16,35,819.81,816500000,271000000,7094500000,2357500000
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,89,16,32,893.172,853000000,284000000,7094500000,2357500000
1966,England,England,Germany FR,Portugal,Soviet Union,89,16,32,1.563.135,915000000,304000000,7094500000,2357500000
1970,Mexico,Brazil,Italy,Germany FR,Uruguay,95,16,32,1.603.975,1096000000,364000000,7094500000,2357500000
1974,Germany,Germany FR,Netherlands,Poland,Brazil,97,16,38,1.865.753,1393000000,463000000,7094500000,2357500000
1978,Argentina,Argentina,Netherlands,Brazil,Italy,102,16,38,1.545.791,1842000000,612000000,7094500000,2357500000
1982,Spain,Italy,Germany FR,Poland,France,146,24,52,2.109.723,2726000000,906000000,7094500000,2357500000
1986,Mexico,Argentina,Germany FR,France,Belgium,132,24,52,2.394.031,3096000000,85000000,7094500000,195000000
1990,Italy,Germany FR,Argentina,Italy,England,115,24,52,2.516.215,4000000000,154000000,7684000000,296500000
1994,USA,Brazil,Italy,Sweden,Bulgaria,141,24,52,3.587.538,500000000,235000000,847000000,398000000
1998,France,France,Brazil,Croatia,Netherlands,171,32,64,2.785.100,340000000,365000000,524000000,562000000
2002,Korea/Japan,Brazil,Germany,Turkey,Korea Republic,161,32,64,2.705.197,7000000000,1200000000,9770000000,1675000000
2006,Germany,Italy,France,Germany,Portugal,147,32,64,3.359.439,4600000000,3200000000,5730000000,3985000000
2010,South Africa,Spain,Netherlands,Germany,Uruguay,145,32,64,3.178.856,3900000000,3660000000,4491000000,4215000000
2014,Brazil,Germany,Argentina,Netherlands,Brazil,171,32,64,3.386.810,15000000000,4800000000,15910000000,5091000000
2018,Russia,France,Croatia,Belgium,England,169,32,64,3.031.768,11800000000,4800000000,11800000000,4800000000
